elapsed_ms,label,r,g,b
64772,rate_100,255,0,0
64791,rate_100,0,0,255
64809,rate_100,255,0,0
64827,rate_100,0,0,255
64846,rate_100,255,0,0
64862,rate_100,0,0,255
64882,rate_100,255,0,0
64899,rate_100,0,0,255
64919,rate_100,255,0,0
64940,rate_100,0,0,255
64959,rate_100,255,0,0
64976,rate_100,0,0,255
64994,rate_100,255,0,0
65012,rate_100,0,0,255
65031,rate_100,255,0,0
65050,rate_100,0,0,255
65066,rate_100,255,0,0
65083,rate_100,0,0,255
65100,rate_100,255,0,0
65120,rate_100,0,0,255
65138,rate_100,255,0,0
65155,rate_100,0,0,255
65173,rate_100,255,0,0
65190,rate_100,0,0,255
65207,rate_100,255,0,0
65225,rate_100,0,0,255
65243,rate_100,255,0,0
65263,rate_100,0,0,255
65280,rate_100,255,0,0
65297,rate_100,0,0,255
65314,rate_100,255,0,0
65331,rate_100,0,0,255
65349,rate_100,255,0,0
65367,rate_100,0,0,255
65386,rate_100,255,0,0
65404,rate_100,0,0,255
65422,rate_100,255,0,0
65441,rate_100,0,0,255
65457,rate_100,255,0,0
65480,rate_100,0,0,255
65498,rate_100,255,0,0
65518,rate_100,0,0,255
65536,rate_100,255,0,0
65557,rate_100,0,0,255
65575,rate_100,255,0,0
65593,rate_100,0,0,255
65612,rate_100,255,0,0
65629,rate_100,0,0,255
65646,rate_100,255,0,0
65664,rate_100,0,0,255
65682,rate_100,255,0,0
65699,rate_100,0,0,255
65717,rate_100,255,0,0
65736,rate_100,0,0,255
65755,rate_100,255,0,0
65774,rate_100,0,0,255
65800,rate_100,255,0,0
65818,rate_100,0,0,255
65838,rate_100,255,0,0
65857,rate_100,0,0,255
65877,rate_100,255,0,0
65896,rate_100,0,0,255
65915,rate_100,255,0,0
65932,rate_100,0,0,255
65951,rate_100,255,0,0
65969,rate_100,0,0,255
65987,rate_100,255,0,0
66008,rate_100,0,0,255
66026,rate_100,255,0,0
66044,rate_100,0,0,255
66061,rate_100,255,0,0
66078,rate_100,0,0,255
66096,rate_100,255,0,0
66114,rate_100,0,0,255
66132,rate_100,255,0,0
66148,rate_100,0,0,255
66166,rate_100,255,0,0
66184,rate_100,0,0,255
66201,rate_100,255,0,0
66218,rate_100,0,0,255
66237,rate_100,255,0,0
66254,rate_100,0,0,255
66274,rate_100,255,0,0
66292,rate_100,0,0,255
66310,rate_100,255,0,0
66326,rate_100,0,0,255
